Year,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Avg,7.23027397260274,34.723369863013694,34.17123287671233,24.152732240437157,11.475808219178083,25.672383561643837,6.371972602739726,4.961994535519126,16.091150684931506,8.999534246575342,8.24676712328767,5.38191256830601,20.905342465753424,5.8261369863013694,30.54068493150685,23.957650273224044,23.962191780821918,24.14586301369863,22.04435616438356,14.111120218579234,6.566438356164384,12.424191780821918,15.324739726027397,11.55396174863388,20.518465753424657,29.8148493150685,9.330630136986299,7.826912568306011,12.304520547945204,16.015315068493152,29.216301369863015,10.559808743169397,11.098273972602739,6.5431780821917815,5.901671232876713
Std,13.385850060520895,57.42231113700715,53.04144639304547,30.304543125823837,19.250324849532678,45.09306828929798,12.191315613288463,6.916341590357264,27.76317938628118,13.616972690819564,16.297046121559397,10.077975588901662,35.29706327503213,11.243451775004472,45.3692747194835,40.72537083258373,43.20085546611682,37.145295491245186,37.116116367078554,23.238425454354033,13.576792343126998,19.560460571557083,29.95049042982522,19.39971950359615,43.24078389861399,50.20782557889612,15.044372301930437,15.801542811442934,25.8426315425519,32.89980739789429,42.09313469246432,21.114875281662027,17.523857836081234,10.709484404076765,10.324166499980008
CV,1.8513613884125448,1.653707902301605,1.5522251299628458,1.2547045536772503,1.6774700728583123,1.756481558520724,1.9132718191610902,1.3938632017525334,1.7253694238461081,1.5130752678674821,1.9761739209949207,1.8725639744225289,1.688423106813717,1.9298296283524563,1.485535600175062,1.699890029620305,1.8028757912159155,1.5383710025262551,1.6837015374958424,1.6468164890096708,2.067603715548703,1.5743849512811583,1.9543881961634613,1.6790534645737372,2.1074082447610314,1.6839872322789489,1.6123640184059016,2.0188730452195256,2.100255060069569,2.0542716304481528,1.4407413915809315,1.999550919453931,1.57897145802498,1.636740475278244,1.749363204521915
SP_Tim,126.0,149.0,166.0,145.0,128.0,153.0,121.0,137.0,132.0,157.0,149.0,112.0,143.0,135.0,180.0,141.0,137.0,168.0,168.0,149.0,133.0,153.0,152.0,130.0,152.0,156.0,133.0,140.0,143.0,161.0,177.0,126.0,125.0,128.0,149.0
SP_Mag,89.0,170.0,241.0,126.0,84.0,110.0,74.0,24.0,127.0,46.0,95.0,70.0,165.0,56.0,161.0,348.0,96.0,166.0,103.0,138.0,77.0,55.2,168.0,101.0,191.0,102.0,70.9,132.0,100.0,216.0,206.0,110.0,57.6,41.6,27.1
SP_Dur,60.0,64.0,58.0,50.0,57.0,39.0,58.0,55.0,60.0,38.0,51.0,93.0,65.0,51.0,44.0,63.0,60.0,53.0,37.0,41.0,35.0,37.0,41.0,55.0,54.0,43.0,46.0,50.0,45.0,46.0,44.0,56.0,67.0,50.0,30.0
SP_ROC,0.09090909090909098,0.07692307692307693,0.07937062937062937,0.09556425309849972,0.1,0.09090909090909086,0.08759590792838876,0.1081081081081082,0.09090909090909091,0.10158220591607431,0.10344827586206891,0.10909090909090918,0.08655731859511498,0.09090909090909091,0.08333333333333333,0.0857843137254902,0.10999999999999996,0.11818181818181825,0.10526315789473684,0.08333333333333333,0.125,0.08415521927951757,0.09314499891583806,0.082516339869281,0.08580630319760753,0.09599405970373714,0.11297071129707113,0.07452940967156527,0.08375634517766499,0.10211267605633804,0.08093278463648831,0.0844027777777778,0.09090909090909091,0.07843137254901955,0.09227871939736335
SU_BFL_Tim,186.0,213.0,224.0,195.0,185.0,192.0,179.0,192.0,192.0,195.0,200.0,205.0,208.0,186.0,224.0,204.0,197.0,221.0,205.0,190.0,168.0,190.0,193.0,185.0,206.0,199.0,179.0,190.0,188.0,207.0,221.0,182.0,192.0,178.0,179.0
SU_BFL_Mag_10,0.61,1.98,3.1,1.3,0.95,1.1,0.81,0.56,0.66,0.65,0.5,0.43,0.89,0.37,1.3,1.3,1.5,1.37,1.6,1.0,0.65,0.83,0.9200000000000002,0.867,0.84,1.3250000000000002,0.8539999999999999,0.717,0.76,0.79,1.58,0.76,0.653,0.64,0.5
SU_BFL_Mag_50,8.8,10.0,12.0,3.5,1.5,1.8,1.2,1.2,1.9,0.91,0.965,0.9,1.2,0.78,2.4,1.7,2.1,4.95,2.5,1.54,1.2,2.12,1.44,1.4,3.69,2.435,1.32,1.26,1.32,8.985,1.9249999999999998,1.725,0.84,0.86,0.84
